"WF_Crop","Water_Type","Total_Virtual_Water_km3","Mean_Intensity_L_per_kg","Trade_Volume_Mt","year"
"Rapeseed","Blue_Irrigated",0.000724939396506927,73.0166917108556,0.0356051952446907,2018
"Rapeseed","Green_Irrigated",0.00033850163577886,54.0363826670471,0.0356051952446907,2018
"Rapeseed","Green_Rainfed",0.0258983639833774,583.41223892468,0.0356051952446907,2018
"Rice","Blue_Irrigated",0.00293909459557511,256.064049555686,0.00620425912093014,2018
"Rice","Green_Irrigated",0.00236019334829272,178.508650332527,0.00620425912093014,2018
"Rice","Green_Rainfed",0.00380295426984016,589.983963880014,0.00620425912093014,2018
"Soyabean","Blue_Irrigated",0.00603996663690282,352.34511334975,0.156760954449809,2018
"Soyabean","Green_Irrigated",0.0076290744618645,185.920223211467,0.156760954449809,2018
"Soyabean","Green_Rainfed",0.147838079145193,770.844012039142,0.156760954449809,2018
"Sugar","Blue_Irrigated",8.7909450293367e-06,24.1968008007311,0.000453675504469985,2018
"Sugar","Green_Irrigated",1.06654070633308e-05,16.0350630145092,0.000453675504469985,2018
"Sugar","Green_Rainfed",0.000240434008164952,88.5600597668933,0.000453675504469985,2018
"Sunflower","Blue_Irrigated",0.000283310046084713,287.817899361072,0.00484603366349411,2018
"Sunflower","Green_Irrigated",0.000188981009416842,130.384800892529,0.00484603366349411,2018
"Sunflower","Green_Rainfed",0.00536933734888015,1983.57166264882,0.00484603366349411,2018
"Temperate Cereals","Blue_Irrigated",0.00323663715364487,101.580554884798,0.0662509240103648,2018
"Temperate Cereals","Green_Irrigated",0.00204882275724585,61.6391663608719,0.0662509240103648,2018
"Temperate Cereals","Green_Rainfed",0.0761395717936481,835.770942507765,0.0662509240103648,2018
"Temperate Roots","Blue_Irrigated",0.00021545310170133,31.1925291480712,0.0077220486185542,2018
"Temperate Roots","Green_Irrigated",8.96465925359864e-05,20.9958488995562,0.0077220486185542,2018
"Temperate Roots","Green_Rainfed",0.000803484344353568,254.193550873089,0.0077220486185542,2018
"Tropical Cereals","Blue_Irrigated",0.00250799337656197,373.722705630711,0.00743003284878692,2018
"Tropical Cereals","Green_Irrigated",0.00191316536046497,200.616704851686,0.00743003284878692,2018
"Tropical Cereals","Green_Rainfed",0.0125169999081032,1973.23745110747,0.00743003284878692,2018
"Tropical Roots","Blue_Irrigated",5.445173646395e-05,48.3650014109821,0.000842037720399446,2018
"Tropical Roots","Green_Irrigated",2.37471039801068e-05,33.471935855918,0.000842037720399446,2018
"Tropical Roots","Green_Rainfed",0.000149186155332147,288.153720008887,0.000842037720399446,2018
