"year","Water_Type","WF_Crop","imports_km3","exports_km3","net_trade_km3"
1997,"Blue_Irrigated","Temperate Cereals",0.0959375954043484,0.00228789555322129,0.0936496998511271
2000,"Green_Irrigated","Groundnut",3.89546029529943e-05,0.0928177646042857,-0.0927788100013327
1996,"Green_Rainfed","Pulses",0.807652027199163,0.71561241614472,0.0920396110544432
1997,"Blue_Irrigated","Groundnut",0.00358295153123415,0.092607637577481,-0.0890246860462469
1997,"Green_Rainfed","Tropical Cereals",6.66231818264905e-06,0.0810558148488456,-0.0810491525306629
1998,"Green_Rainfed","Groundnut",0.000194410859988109,0.0643887817892112,-0.0641943709292231
1997,"Green_Rainfed","Groundnut",0.00713773931104863,0.0657636462870361,-0.0586259069759874
1997,"Blue_Irrigated","Rapeseed",0.0572174456628078,2.13166903731401e-06,0.0572153139937705
1997,"Green_Irrigated","Groundnut",0.0018949750215657,0.0580622584518113,-0.0561672834302456
1998,"Green_Irrigated","Groundnut",3.19884412346618e-05,0.056045983802389,-0.0560139953611544
1999,"Green_Irrigated","Rapeseed",0.055024435047032,6.20730915491647e-05,0.0549623619554829
1999,"Green_Irrigated","Temperate Cereals",0.0541586462857008,0.00126131770718803,0.0528973285785128
2000,"Green_Irrigated","Temperate Cereals",0.0515797727162878,0.000540112099974882,0.0510396606163129
1998,"Green_Irrigated","Temperate Cereals",0.0521612499773329,0.00263058867467493,0.049530661302658
2000,"Green_Irrigated","Rapeseed",0.0440098032247073,0.00036339129723294,0.0436464119274744
1998,"Green_Irrigated","Rapeseed",0.0392261197183779,0.000530224055517491,0.0386958956628604
1997,"Green_Irrigated","Temperate Cereals",0.0396840958074622,0.00126759573810484,0.0384165000693574
1996,"Green_Rainfed","Rapeseed",0.0367565883894939,0.0027767278684338,0.0339798605210601
1996,"Blue_Irrigated","Maize",0.0096526727440525,0.0372614936745997,-0.0276088209305472
1997,"Blue_Irrigated","Tropical Cereals",2.17512863059961e-06,0.0254914963591656,-0.025489321230535
1996,"Green_Rainfed","Sunflower",0.000161503235988147,0.0231503379111746,-0.0229888346751865
1996,"Green_Rainfed","Maize",0.0686902320991846,0.0479522472299667,0.0207379848692179
1999,"Green_Rainfed","Tropical Cereals",2.26511443109271e-05,0.0177959684226958,-0.0177733172783849
1997,"Green_Rainfed","Sunflower",0.0055053043756615,0.0211554072278903,-0.0156501028522288
1997,"Green_Irrigated","Rapeseed",0.0141530604704091,1.80901428213407e-06,0.014151251456127
2000,"Green_Rainfed","Tropical Cereals",0.0319554493457103,0.018525039360878,0.0134304099848322
1996,"Green_Rainfed","Tropical Cereals",3.54612314149874e-05,0.0120340022525187,-0.0119985410211037
1997,"Green_Irrigated","Tropical Cereals",9.93841309349011e-07,0.0117989860235553,-0.0117979921822459
1998,"Green_Rainfed","Tropical Cereals",0,0.0109455882745533,-0.0109455882745533
1996,"Green_Irrigated","Maize",0.0066394105322626,0.0160178109391052,-0.00937840040684263
2000,"Blue_Irrigated","Sunflower",0.00192009650315811,0.0110939583182819,-0.00917386181512379
2000,"Green_Rainfed","Sunflower",0.0250272290832982,0.033528312892725,-0.00850108380942683
1999,"Green_Rainfed","Temperate Roots",1.65302612125693e-05,0.00830871231349627,-0.0082921820522837
1996,"Blue_Irrigated","Sunflower",1.52660586533676e-05,0.00715098258162469,-0.00713571652297132
1998,"Green_Rainfed","Sunflower",0.0138711930461514,0.00767300895083673,0.00619818409531467
1999,"Blue_Irrigated","Tropical Cereals",4.98576631210986e-07,0.0060843510348211,-0.00608385245818989
1997,"Blue_Irrigated","Sunflower",0.000567618436833485,0.00613482427649058,-0.00556720583965709
1999,"Blue_Irrigated","Sunflower",0.00139482081587481,0.00630627042229196,-0.00491144960641715
2000,"Green_Rainfed","Temperate Roots",0.000106761715907507,0.00448365712868861,-0.0043768954127811
1996,"Blue_Irrigated","Tropical Cereals",2.29068101792418e-05,0.00426709457047689,-0.00424418776029765
1999,"Green_Rainfed","Sunflower",0.0161761656752687,0.0200140421325849,-0.00383787645731628
1998,"Blue_Irrigated","Tropical Cereals",0,0.00371404948152724,-0.00371404948152724
1998,"Green_Rainfed","Temperate Roots",4.32269084976113e-06,0.00362040444267772,-0.00361608175182796
1997,"Green_Rainfed","Temperate Roots",0,0.00354956822769222,-0.00354956822769222
1999,"Blue_Irrigated","Temperate Roots",1.74143942765018e-05,0.00351639762782342,-0.00349898323354692
1996,"Green_Rainfed","Temperate Roots",4.62316802467123e-05,0.00336458931578411,-0.0033183576355374
1996,"Blue_Irrigated","Rapeseed",0.000137022335237397,0.00326035472896631,-0.00312333239372891
1996,"Green_Irrigated","Rapeseed",6.65347058896269e-05,0.00271757858429706,-0.00265104387840743
1999,"Green_Irrigated","Tropical Cereals",1.15306644526859e-07,0.0025998909259809,-0.00259977561933637
2000,"Green_Irrigated","Sunflower",0.0006952603049133,0.00304056087186445,-0.00234530056695115
1996,"Green_Irrigated","Sunflower",6.37338662255927e-06,0.00229755116200637,-0.00229117777538381
1997,"Green_Irrigated","Sunflower",0.000181191780589297,0.00213793456858789,-0.00195674278799859
1999,"Green_Irrigated","Temperate Roots",1.20620709999913e-05,0.00195856115414829,-0.0019464990831483
2000,"Green_Irrigated","Tropical Cereals",0.00415017033334729,0.00227952641890905,0.00187064391443825
2000,"Blue_Irrigated","Temperate Roots",5.04923970046203e-05,0.00190186993151448,-0.00185137753450986
1996,"Green_Irrigated","Tropical Cereals",1.9174326001114e-05,0.00170832205568129,-0.00168914772968018
1999,"Green_Irrigated","Sunflower",0.000490077743784966,0.00212372349098476,-0.0016336457471998
1998,"Green_Irrigated","Tropical Cereals",0,0.00156163520168645,-0.00156163520168645
1998,"Blue_Irrigated","Temperate Roots",2.76264508134872e-06,0.00145910884302437,-0.00145634619794302
1997,"Blue_Irrigated","Temperate Roots",0,0.00134043407320138,-0.00134043407320138
1996,"Blue_Irrigated","Temperate Roots",1.61048379681403e-05,0.00134287579105943,-0.00132677095309129
1998,"Blue_Irrigated","Sunflower",0.00129719677608858,0.00234269350409936,-0.00104549672801078
2000,"Green_Rainfed","Tropical Roots",1.06192409898509e-07,0.00101091634981867,-0.00101081015740877
2000,"Green_Irrigated","Temperate Roots",2.42563234224786e-05,0.000920220380178147,-0.000895964056755668
1997,"Green_Irrigated","Temperate Roots",0,0.000849463809375217,-0.000849463809375217
1998,"Green_Irrigated","Temperate Roots",8.39641579265805e-07,0.000839173287119293,-0.000838333645540027
2000,"Blue_Irrigated","Tropical Cereals",0.00741272315067011,0.00657469928974953,0.000838023860920575
1996,"Green_Irrigated","Temperate Roots",5.61829355586866e-06,0.000783648621960713,-0.000778030328404844
1999,"Blue_Irrigated","Rice",0,0.000731372008270871,-0.000731372008270871
2000,"Blue_Irrigated","Rice",1.36337913674538e-07,0.000721266357945524,-0.000721130020031849
2000,"Green_Rainfed","Rice",1.36179015827068e-05,0.000578599166337244,-0.000564981264754537
1999,"Green_Rainfed","Rice",0,0.000560495470093441,-0.000560495470093441
1999,"Green_Irrigated","Rice",0,0.000554452566317275,-0.000554452566317275
1999,"Green_Rainfed","Tropical Roots",0,0.00051520745356116,-0.00051520745356116
