"ISO3","Year","Crop","WaterFootprint_liters_per_year","Production_kg","WF_L_per_kg"
"AFG",2001,"Sugar Crops Primary",1213086766.27647,NA,NA
"AFG",2001,"Sunflower seed",8572695418.71295,26380990,324.957305192601
"AFG",2002,"Groundnuts, excluding shelled",871947419.860408,NA,NA
"AFG",2002,"Maize (corn)",475515598576.906,400980000,1185.88358166718
"AFG",2002,"Pulses, Total",154479055567.396,NA,NA
"AFG",2002,"Rape or colza seed",14827225350.3404,NA,NA
"AFG",2002,"Rice",648007641390.576,NA,NA
"AFG",2002,"Soya beans",807871257.263048,NA,NA
"AFG",2002,"Sugar Crops Primary",739634321.246683,NA,NA
"AFG",2002,"Sunflower seed",6703767813.37377,24465030,274.01428951339
"AFG",2003,"Groundnuts, excluding shelled",836995146.280887,NA,NA
"AFG",2003,"Maize (corn)",542965867405.673,460840000,1178.20906910354
"AFG",2003,"Pulses, Total",182762065410.573,NA,NA
"AFG",2003,"Rape or colza seed",18060511782.6438,NA,NA
"AFG",2003,"Rice",741474340656.084,NA,NA
"AFG",2003,"Soya beans",1073297153.99428,NA,NA
"AFG",2003,"Sugar Crops Primary",1000639736.02544,NA,NA
"AFG",2003,"Sunflower seed",7973436213.76701,25735320,309.824638425596
"AFG",2004,"Groundnuts, excluding shelled",826430060.496576,NA,NA
"AFG",2004,"Maize (corn)",529709528474.8,651600000,812.936661256599
"AFG",2004,"Pulses, Total",186588045002.675,NA,NA
"AFG",2004,"Rape or colza seed",19308712550.0216,NA,NA
"AFG",2004,"Rice",722854498711.976,NA,NA
"AFG",2004,"Soya beans",1075309565.38078,NA,NA
"AFG",2004,"Sugar Crops Primary",1030955673.67001,NA,NA
"AFG",2004,"Sunflower seed",8371803013.09126,27036800,309.644743944966
"AFG",2005,"Groundnuts, excluding shelled",813545981.460218,NA,NA
"AFG",2005,"Maize (corn)",487033104190.347,577206900,843.775610080799
"AFG",2005,"Pulses, Total",157392902753.616,NA,NA
"AFG",2005,"Rape or colza seed",15263325881.0824,NA,NA
"AFG",2005,"Rice",666466151783.514,NA,NA
"AFG",2005,"Soya beans",877758913.99677,NA,NA
"AFG",2005,"Sugar Crops Primary",796832549.252631,NA,NA
"AFG",2005,"Sunflower seed",6852366929.71523,35270800,194.27874983599
"AFG",2006,"Groundnuts, excluding shelled",798108032.847437,NA,NA
"AFG",2006,"Maize (corn)",483599487107.604,498620400,969.875053462721
"AFG",2006,"Pulses, Total",167794415444.295,NA,NA
"AFG",2006,"Rape or colza seed",17433662893.2962,NA,NA
"AFG",2006,"Rice",660165729179.163,NA,NA
"AFG",2006,"Soya beans",887629326.912868,NA,NA
"AFG",2006,"Sugar Crops Primary",882399803.029109,NA,NA
"AFG",2006,"Sunflower seed",7542147791.53496,17562900,429.436356839415
"AFG",2007,"Groundnuts, excluding shelled",809223611.349552,NA,NA
"AFG",2007,"Maize (corn)",475463124909.626,499627700,951.634837118971
"AFG",2007,"Pulses, Total",154406843834.075,NA,NA
"AFG",2007,"Rape or colza seed",15020400092.7208,NA,NA
"AFG",2007,"Rice",650687807799,NA,NA
"AFG",2007,"Soya beans",816949914.92384,NA,NA
"AFG",2007,"Sugar Crops Primary",791670865.440298,NA,NA
"AFG",2007,"Sunflower seed",6701810082.90625,8866700,755.84040092777
"AFG",2008,"Groundnuts, excluding shelled",822449114.590357,NA,NA
"AFG",2008,"Maize (corn)",544157188419.698,499627700,1089.12533956724
"AFG",2008,"Pulses, Total",185441850354.624,NA,NA
"AFG",2008,"Rape or colza seed",18988024517.5803,NA,NA
"AFG",2008,"Rice",741921161686.993,NA,NA
"AFG",2008,"Soya beans",1146411156.57302,NA,NA
"AFG",2008,"Sugar Crops Primary",1274961394.55112,NA,NA
"AFG",2008,"Sunflower seed",8323685952.15534,3800000,2190.44367161983
"AFG",2009,"Groundnuts, excluding shelled",796843226.352294,NA,NA
"AFG",2009,"Maize (corn)",548582763039.375,442142900,1240.73633895145
"AFG",2009,"Pulses, Total",172445429368.04,NA,NA
"AFG",2009,"Rape or colza seed",15893236972.8754,NA,NA
"AFG",2009,"Rice",749105066846.549,NA,NA
"AFG",2009,"Soya beans",1077576772.26198,NA,NA
"AFG",2009,"Sugar Crops Primary",1032085533.87947,NA,NA
"AFG",2009,"Sunflower seed",7219788576.65891,1821800,3962.99735243106
"AFG",2010,"Groundnuts, excluding shelled",795530442.494922,NA,NA
"AFG",2010,"Maize (corn)",517882924092.774,485644800,1066.38210497214
"AFG",2010,"Pulses, Total",173115685584.021,NA,NA
"AFG",2010,"Rape or colza seed",17066657351.6503,NA,NA
"AFG",2010,"Rice",707871076005.382,NA,NA
"AFG",2010,"Soya beans",878806243.094361,NA,NA
"AFG",2010,"Sugar Crops Primary",888826919.204071,NA,NA
"AFG",2010,"Sunflower seed",7431813571.14914,1856200,4003.77845660443
"AFG",2011,"Groundnuts, excluding shelled",796157296.50718,NA,NA
"AFG",2011,"Maize (corn)",576724387840.046,484760000,1189.71117220902
"AFG",2011,"Pulses, Total",195051626463.61,NA,NA
"AFG",2011,"Rape or colza seed",19723547929.3536,NA,NA
"AFG",2011,"Rice",789113361907.362,NA,NA
"AFG",2011,"Soya beans",1046423176.71752,NA,NA
"AFG",2011,"Sugar Crops Primary",1166282697.38458,NA,NA
"AFG",2011,"Sunflower seed",8466960668.47057,1869900,4528.02859429412
"AFG",2012,"Groundnuts, excluding shelled",828264197.350045,NA,NA
"AFG",2012,"Maize (corn)",514790270280.831,453198600,1135.9043701389
"AFG",2012,"Pulses, Total",168993734010.294,NA,NA
"AFG",2012,"Rape or colza seed",16658301720.0443,NA,NA
"AFG",2012,"Rice",703008292545.114,NA,NA
"AFG",2012,"Soya beans",1085403489.38052,NA,NA
"AFG",2012,"Sugar Crops Primary",1013997271.92862,NA,NA
"AFG",2012,"Sunflower seed",7525047874.90863,1890600,3980.24324283753
"AFG",2013,"Groundnuts, excluding shelled",824875707.234209,NA,NA
"AFG",2013,"Maize (corn)",486778089549.855,456197200,1067.0343648533
"AFG",2013,"Pulses, Total",172174919695.677,NA,NA
"AFG",2013,"Rape or colza seed",17518327862.5147,NA,NA
"AFG",2013,"Rice",666430236977.923,NA,NA
"AFG",2013,"Soya beans",922053440.767429,NA,NA
"AFG",2013,"Sugar Crops Primary",780644014.373582,NA,NA
"AFG",2013,"Sunflower seed",7629035242.39304,2342900,3256.23596499767
"AFG",2014,"Groundnuts, excluding shelled",815120796.421595,NA,NA
"AFG",2014,"Maize (corn)",515614103846.456,445488200,1157.41360567229
"AFG",2014,"Pulses, Total",185926751993.104,NA,NA
"AFG",2014,"Rape or colza seed",19498895504.0396,NA,NA
"AFG",2014,"Rice",706998126855.107,NA,NA
"AFG",2014,"Soya beans",908574821.999464,NA,NA
"AFG",2014,"Sugar Crops Primary",896639093.742233,NA,NA
"AFG",2014,"Sunflower seed",8258851098.35461,2474400,3337.71867861082
"AFG",2015,"Groundnuts, excluding shelled",822005138.084477,NA,NA
"AFG",2015,"Maize (corn)",539993432854.253,465418700,1160.23149231918
"AFG",2015,"Pulses, Total",211561083914.213,NA,NA
"AFG",2015,"Rape or colza seed",23278451405.6531,NA,NA
"AFG",2015,"Rice",741010065681.401,NA,NA
"AFG",2015,"Soya beans",1066046477.61102,NA,NA
"AFG",2015,"Sugar Crops Primary",905468739.052013,NA,NA
"AFG",2015,"Sunflower seed",9662333955.1087,1956400,4938.83354892083
"AFG",2016,"Groundnuts, excluding shelled",840958258.981616,NA,NA
"AFG",2016,"Maize (corn)",597039729344.305,465597700,1282.30815861914
"AFG",2016,"Pulses, Total",240835814183.062,NA,NA
"AFG",2016,"Rape or colza seed",28168732407.4296,NA,NA
"AFG",2016,"Rice",821745567195.663,NA,NA
"AFG",2016,"Soya beans",1218650507.00047,NA,NA
"AFG",2016,"Sugar Crops Primary",1277886512.90811,NA,NA
"AFG",2016,"Sunflower seed",11448201251.8947,2469890,4635.10571397703
"AFG",2017,"Groundnuts, excluding shelled",843252497.691901,NA,NA
"AFG",2017,"Maize (corn)",554527644872.052,309432700,1792.07835782079
"AFG",2017,"Pulses, Total",227593925734.936,NA,NA
"AFG",2017,"Rape or colza seed",26543759155.3597,NA,NA
"AFG",2017,"Rice",760947629925.2,NA,NA
"AFG",2017,"Soya beans",1128116379.96635,NA,NA
"AFG",2017,"Sugar Crops Primary",1202514318.52761,NA,NA
"AFG",2017,"Sunflower seed",10812403047.8825,2601390,4156.39448444196
"AFG",2018,"Groundnuts, excluding shelled",836976594.224639,NA,NA
"AFG",2018,"Maize (corn)",528105092530.389,180575700,2924.56345195056
"AFG",2018,"Pulses, Total",188844128960.972,NA,NA
"AFG",2018,"Rape or colza seed",19152060258.8771,NA,NA
"AFG",2018,"Rice",724236527871.141,NA,NA
"AFG",2018,"Soya beans",879547502.319463,NA,NA
"AFG",2018,"Sugar Crops Primary",730877250.940352,NA,NA
"AFG",2018,"Sunflower seed",8146414602.00865,2685970,3032.95070384578
"AFG",2019,"Groundnuts, excluding shelled",844806169.294489,NA,NA
"AFG",2019,"Maize (corn)",486676905744.478,281526700,1728.7060365659
"AFG",2019,"Pulses, Total",185572091391.422,NA,NA
"AFG",2019,"Rape or colza seed",20763462429.3387,NA,NA
"AFG",2019,"Rice",666001315744.992,NA,NA
"AFG",2019,"Soya beans",1020080725.35769,NA,NA
"AFG",2019,"Sugar Crops Primary",948342486.758884,NA,NA
"AFG",2019,"Sunflower seed",8818623174.08983,2762100,3192.72407736499
"AFG",2020,"Groundnuts, excluding shelled",838402029.767911,NA,NA
"AFG",2020,"Maize (corn)",474992436847.291,414208400,1146.74747505674
"AFG",2020,"Pulses, Total",166867089987.397,NA,NA
"AFG",2020,"Rape or colza seed",17253857221.7997,NA,NA
"AFG",2020,"Rice",650620090611.173,NA,NA
"AFG",2020,"Soya beans",776318316.013068,NA,NA
"AFG",2020,"Sugar Crops Primary",742410618.754778,NA,NA
"AFG",2020,"Sunflower seed",7430688253.038,1818100,4087.06245698146
"AFG",2021,"Groundnuts, excluding shelled",842347242.018576,NA,NA
"AFG",2021,"Maize (corn)",572623455073.12,405294400,1412.85804855216
"AFG",2021,"Pulses, Total",210769716142.532,NA,NA
"AFG",2021,"Rape or colza seed",22531484806.9666,NA,NA
"AFG",2021,"Rice",785033964129.826,NA,NA
"AFG",2021,"Soya beans",1008338153.30735,NA,NA
"AFG",2021,"Sugar Crops Primary",1085978349.99727,NA,NA
"AFG",2021,"Sunflower seed",9388489014.17767,2488370,3772.94735677478
"AFG",2022,"Groundnuts, excluding shelled",841851813.69366,NA,NA
"AFG",2022,"Maize (corn)",511430932554.964,452237400,1130.89039640455
"AFG",2022,"Pulses, Total",187736299173.783,NA,NA
"AFG",2022,"Rape or colza seed",20182934819.3683,NA,NA
"AFG",2022,"Rice",700551790161.996,NA,NA
"AFG",2022,"Soya beans",934912398.226035,NA,NA
"AFG",2022,"Sugar Crops Primary",925577151.836977,NA,NA
"AFG",2022,"Sunflower seed",8545933480.43516,2719540,3142.41874744816
"ALB",1980,"Groundnuts, excluding shelled",2760473.56132914,NA,NA
"ALB",1980,"Maize (corn)",289751369662.352,383750400,755.05164206305
"ALB",1980,"Pulses, Total",121268554940.869,NA,NA
"ALB",1980,"Rape or colza seed",32363721.6887593,NA,NA
"ALB",1980,"Rice",13240188.2001041,NA,NA
"ALB",1980,"Soya beans",2347962476.28727,NA,NA
"ALB",1980,"Sugar Crops Primary",0,NA,NA
"ALB",1980,"Sunflower seed",10132037671.5982,55850100,181.414852822075
"ALB",1981,"Groundnuts, excluding shelled",3092433.62991945,NA,NA
"ALB",1981,"Maize (corn)",318300904336.598,412358500,771.903342204897
"ALB",1981,"Pulses, Total",131986021618.244,NA,NA
"ALB",1981,"Rape or colza seed",36311885.7552954,NA,NA
"ALB",1981,"Rice",14430491.2238791,NA,NA
"ALB",1981,"Soya beans",2588949514.13915,NA,NA
"ALB",1981,"Sugar Crops Primary",0,NA,NA
"ALB",1981,"Sunflower seed",10979984253.9246,60817000,180.541365965512
"ALB",1982,"Groundnuts, excluding shelled",3127000.98360686,NA,NA
"ALB",1982,"Maize (corn)",317288123736.335,437025200,726.017913237807
"ALB",1982,"Pulses, Total",132977118145.382,NA,NA
"ALB",1982,"Rape or colza seed",33555721.4345706,NA,NA
"ALB",1982,"Rice",14654142.7394439,NA,NA
"ALB",1982,"Soya beans",2526486302.50478,NA,NA
"ALB",1982,"Sugar Crops Primary",0,NA,NA
"ALB",1982,"Sunflower seed",10995282894.6687,64086100,171.57047931874
"ALB",1983,"Groundnuts, excluding shelled",3028010.96540618,NA,NA
"ALB",1983,"Maize (corn)",320674666136.796,456826300,701.961918866746
"ALB",1983,"Pulses, Total",134908235272.804,NA,NA
"ALB",1983,"Rape or colza seed",33737053.9451637,NA,NA
"ALB",1983,"Rice",14683637.3506913,NA,NA
"ALB",1983,"Soya beans",2561000187.03314,NA,NA
"ALB",1983,"Sugar Crops Primary",0,NA,NA
"ALB",1983,"Sunflower seed",11209997606.7749,88558800,126.582537328587
"ALB",1984,"Groundnuts, excluding shelled",2732196.8378216,NA,NA
"ALB",1984,"Maize (corn)",299028908682.957,409720900,729.835623916078
"ALB",1984,"Pulses, Total",126070110124.468,NA,NA
"ALB",1984,"Rape or colza seed",31535862.5193214,NA,NA
"ALB",1984,"Rice",13187023.5847869,NA,NA
"ALB",1984,"Soya beans",2413896955.09585,NA,NA
"ALB",1984,"Sugar Crops Primary",0,NA,NA
"ALB",1984,"Sunflower seed",10558432190.4096,76500000,138.018721443262
"ALB",1985,"Groundnuts, excluding shelled",3095377.83517365,NA,NA
"ALB",1985,"Maize (corn)",316939382480.986,355512800,891.499216008498
"ALB",1985,"Pulses, Total",133084197619.617,NA,NA
"ALB",1985,"Rape or colza seed",33029744.7988901,NA,NA
"ALB",1985,"Rice",14633147.5392585,NA,NA
"ALB",1985,"Soya beans",2519709117.2022,NA,NA
"ALB",1985,"Sugar Crops Primary",0,NA,NA
"ALB",1985,"Sunflower seed",11052773130.7682,70574600,156.611204750267
"ALB",1986,"Groundnuts, excluding shelled",2766761.76616034,NA,NA
"ALB",1986,"Maize (corn)",297686680795.268,428506500,694.70750337572
"ALB",1986,"Pulses, Total",125386712585.159,NA,NA
"ALB",1986,"Rape or colza seed",32154045.7828096,NA,NA
"ALB",1986,"Rice",13386570.4110079,NA,NA
"ALB",1986,"Soya beans",2439743934.8852,NA,NA
"ALB",1986,"Sugar Crops Primary",0,NA,NA
"ALB",1986,"Sunflower seed",10573759087.8695,61660700,171.482955721707
"ALB",1987,"Groundnuts, excluding shelled",2761895.05085394,NA,NA
"ALB",1987,"Maize (corn)",293410314142.471,393814800,745.046438433678
"ALB",1987,"Pulses, Total",125314627864.356,NA,NA
"ALB",1987,"Rape or colza seed",28755714.9735676,NA,NA
"ALB",1987,"Rice",12690203.9369962,NA,NA
"ALB",1987,"Soya beans",2361702543.57266,NA,NA
"ALB",1987,"Sugar Crops Primary",0,NA,NA
"ALB",1987,"Sunflower seed",10545453482.3566,50403800,209.219413662394
"ALB",1988,"Groundnuts, excluding shelled",2879939.87474273,NA,NA
"ALB",1988,"Maize (corn)",311402312117.379,312387100,996.847539854812
"ALB",1988,"Pulses, Total",131711441159.233,NA,NA
"ALB",1988,"Rape or colza seed",30880213.0073127,NA,NA
"ALB",1988,"Rice",13788987.5391549,NA,NA
"ALB",1988,"Soya beans",2496467554.14901,NA,NA
"ALB",1988,"Sugar Crops Primary",0,NA,NA
"ALB",1988,"Sunflower seed",11010036443.2243,42291100,260.339325371634
"ALB",1989,"Groundnuts, excluding shelled",2869094.02989855,NA,NA
"ALB",1989,"Maize (corn)",308324357537.802,375796900,820.454765693389
"ALB",1989,"Pulses, Total",128971573136.678,NA,NA
"ALB",1989,"Rape or colza seed",32926254.5734895,NA,NA
"ALB",1989,"Rice",13883876.8881636,NA,NA
"ALB",1989,"Soya beans",2486684742.55118,NA,NA
"ALB",1989,"Sugar Crops Primary",0,NA,NA
"ALB",1989,"Sunflower seed",10814368181.9431,46670000,231.719909619523
"ALB",1990,"Groundnuts, excluding shelled",2914608.51166287,NA,NA
"ALB",1990,"Maize (corn)",297856896292.346,292661300,1017.75293245928
"ALB",1990,"Pulses, Total",124455068777.402,NA,NA
"ALB",1990,"Rape or colza seed",31478433.2063224,NA,NA
"ALB",1990,"Rice",13879599.7938898,NA,NA
"ALB",1990,"Soya beans",2394586839.06199,NA,NA
"ALB",1990,"Sugar Crops Primary",0,NA,NA
