Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Canada,CAN,1.167526841,1.061421752,1.17550385,1.26233685,1.240411639,1.089679599,0.963774383,0.994817913,1.013104677,0.962195992,0.772814035
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cayman Islands,CYM,0.713235021,1.017615318,1.04634726,1.1286937,1.1407758,1.162609696,1.110623479,1.401382208,1.456373334,1.624580383,1.649437666
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Central African Republic,CAF,-1.12044251,-2.154896736,-2.699193239,-1.89358747,-1.779548764,-1.993532181,-2.172087193,-2.13577795,-2.236208916,-2.12673974,-2.162472963
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Chad,TCD,-1.134754062,-1.089472294,-1.568882704,-0.973281741,-1.301894188,-1.286392093,-1.477965355,-1.350407004,-1.255195975,-1.389812827,-1.483703375
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Chile,CHL,0.485464156,0.36374253,0.447516918,0.424871743,0.402406216,0.406280667,0.412628829,-0.016168356,0.044010442,0.161352158,0.118578859
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,China,CHN,-0.209916875,-0.543789923,-0.522584021,-0.552559674,-0.502221346,-0.232558474,-0.298641503,-0.259810865,-0.473098785,-0.516728878,-0.441073626
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Colombia,COL,-1.608960748,-1.291971803,-1.114594102,-1.072663784,-0.887163997,-0.779457688,-0.806959629,-0.979467273,-0.701150596,-0.954557538,-0.641925931
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Comoros,COM,0.02275865,-0.256929189,-0.186910167,-0.24447161,0.022001922,0.022407399,-0.361675262,-0.17683351,-0.28740406,-0.228033617,-0.230514869
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Congo, Dem. Rep.",COD,-2.474238157,-2.192190647,-2.167921305,-2.138853312,-2.224589348,-2.339438915,-2.080746651,-1.624438524,-1.785483599,-1.657812476,-1.977746248
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Congo, Rep.",COG,-0.922982037,-0.475050122,-0.359291583,-0.5291273,-0.523459077,-0.533614933,-0.348402858,-0.299301684,-0.213065609,-0.229479313,-0.016906014
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cook Islands,COK,..,..,..,..,..,..,0.933196068,1.120247364,1.15194726,1.148515224,1.158820033
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Costa Rica,CRI,0.868542314,0.677918017,0.577418208,0.669974029,0.648553014,0.597006142,0.453240991,0.430242807,0.746752381,0.860289991,0.954446793
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cote d'Ivoire,CIV,-1.240804076,-1.048724174,-1.037160635,-0.835078061,-0.909238815,-1.091115832,-0.898008049,-1.036474109,-1.033205271,-0.715018511,-0.516378641
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Croatia,HRV,0.28022489,0.64266789,0.619112372,0.586513638,0.654191136,0.681904495,0.793498814,0.685416102,0.607223809,0.62148279,0.612161279
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cuba,CUB,0.248432532,0.37056464,0.544822037,0.634750009,0.673131645,0.638509929,0.640438855,0.610411108,0.596087813,0.392701924,0.499521583
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Cyprus,CYP,0.517499864,0.563347161,0.551882088,0.542449117,0.593786836,0.530973077,0.484394073,0.544513285,0.288732588,0.422054201,0.41863507
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Czechia,CZE,0.332739621,1.084778547,0.989990473,0.970251083,0.963384211,0.990649343,1.02620995,0.941883624,0.91225487,0.947398126,0.81544137
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Denmark,DNK,1.50106895,0.959233463,0.951779723,0.887059271,0.852912426,0.854936242,0.931788921,0.967484951,0.920160234,0.928524494,0.865008831
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Djibouti,DJI,-0.241125971,-0.102187522,-0.77023226,-0.44767192,-0.628553987,-0.733945012,-0.133512378,-0.343412548,-0.448214263,-0.56633985,-0.508419454
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Dominica,DMA,0.486361712,1.119856238,1.05717814,1.054432034,0.9776631,1.172775149,1.068851233,1.029823542,1.316998243,1.333959103,1.298232317
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Dominican Republic,DOM,0.012947378,0.207428694,0.145934492,0.227570921,0.241259411,0.15207319,0.012199945,-0.003159933,0.164941698,0.287300646,0.328113049
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Ecuador,ECU,-0.572284937,-0.178656712,-0.018533209,-0.147344977,-0.091710433,-0.078932591,-0.094810791,-0.238249406,-0.270263135,-0.257427931,-0.239295244
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Egypt, Arab Rep.",EGY,0.049797524,-1.6388309,-1.631176591,-1.49933219,-1.43972683,-1.429645181,-1.188100696,-1.124602079,-1.181911707,-1.032840967,-1.028056622
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,El Salvador,SLV,0.329205334,-0.033658903,-0.024590004,-0.020496048,-0.104568757,-0.263820618,-0.389219522,-0.120268002,-0.115019135,-0.09154629,-0.153124496
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Equatorial Guinea,GNQ,-0.035038944,0.120355181,-0.374146551,-0.207799196,-0.14674297,-0.172020316,-0.090242371,-0.147936091,-0.22158289,-0.20278056,-0.074253544
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Eritrea,ERI,-0.768895209,-0.772372127,-0.805872619,-0.878453434,-0.662282407,-0.733444393,-0.609398246,-0.705968618,-0.992728472,-1.055657029,-0.970292985
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Estonia,EST,0.902080297,0.748215437,0.780257881,0.613857269,0.662796259,0.642369628,0.580257714,0.630106986,0.709752977,0.748466134,0.723720729
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Eswatini,SWZ,0.037518527,-0.431911141,-0.500559747,-0.480209202,-0.494323075,-0.270877749,-0.377810627,-0.274407119,-0.040577199,-0.34604305,-0.24972333
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Ethiopia,ETH,-0.946032107,-1.407307386,-1.339387417,-1.496942043,-1.617245197,-1.677229643,-1.274579644,-1.303721905,-1.753656149,-2.183713198,-2.038067579
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Fiji,FJI,0.301403165,-0.051027689,0.553164601,0.569660664,0.897029459,0.586045206,0.833207309,0.779773772,0.661915123,0.724108815,0.764339507
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Finland,FIN,1.720112085,1.385172486,1.282197237,1.027998209,0.982591867,1.063806653,0.891700327,0.835154116,0.981748819,0.963134944,0.891491711
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,France,FRA,0.785089076,0.448744118,0.300568491,0.097759806,-0.106349595,0.265700728,0.0137935,0.271274894,0.280948132,0.325523823,0.334524125
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,French Guiana,GUF,0.032615215,0.218277127,0.527634025,0.559771299,0.538475215,0.492239535,0.514202237,0.243846178,0.316747218,0.327672392,0.331466466
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Gabon,GAB,0.640210629,0.330102742,0.149542809,0.015247292,-0.110105984,-0.105891399,-0.257414043,-0.075141385,-0.065801933,-0.075772829,0.069895133
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,"Gambia, The",GMB,0.533818603,-0.048636407,-0.151400715,0.016247632,-0.442044199,-0.094831444,-0.08758685,0.214429125,0.247992232,0.035266154,0.04582857
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Georgia,GEO,-0.812726557,-0.441366166,-0.321507543,-0.472153753,-0.320115089,-0.375215024,-0.447616845,-0.498185903,-0.429623365,-0.429646611,-0.4409495
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Germany,DEU,1.411335707,0.92798388,0.925186455,0.687514961,0.667541146,0.574380219,0.577707589,0.548454642,0.64498806,0.725666702,0.614759147
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Ghana,GHA,-0.359381735,0.060606085,-0.106807962,-0.038228907,-0.138907716,0.082036331,-0.036738522,0.118470922,0.169862181,0.065785304,-0.065912969
Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,Greece,GRC,0.808356404,-0.171341717,-0.140445963,-0.235559732,-0.129703641,-0.081244558,0.153864294,0.1623694,0.115144268,0.101313189,0.064303063
